id,image_path,label,task_type,question,ground_truth,model_answer,correct
sample_00001_counting,data/samples/sample_00001.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00001_object_presence,data/samples/sample_00001.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00001_clutter_judgment,data/samples/sample_00001.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00001_occlusion_judgment,data/samples/sample_00001.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00002_counting,data/samples/sample_00002.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00002_object_presence,data/samples/sample_00002.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00002_clutter_judgment,data/samples/sample_00002.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00002_occlusion_judgment,data/samples/sample_00002.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00003_counting,data/samples/sample_00003.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00003_object_presence,data/samples/sample_00003.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00003_clutter_judgment,data/samples/sample_00003.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00003_occlusion_judgment,data/samples/sample_00003.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00004_counting,data/samples/sample_00004.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00004_object_presence,data/samples/sample_00004.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00004_clutter_judgment,data/samples/sample_00004.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00004_occlusion_judgment,data/samples/sample_00004.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00005_counting,data/samples/sample_00005.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00005_object_presence,data/samples/sample_00005.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00005_clutter_judgment,data/samples/sample_00005.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00005_occlusion_judgment,data/samples/sample_00005.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00006_counting,data/samples/sample_00006.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00006_object_presence,data/samples/sample_00006.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00006_clutter_judgment,data/samples/sample_00006.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00006_occlusion_judgment,data/samples/sample_00006.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00007_counting,data/samples/sample_00007.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00007_object_presence,data/samples/sample_00007.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00007_clutter_judgment,data/samples/sample_00007.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00007_occlusion_judgment,data/samples/sample_00007.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00008_counting,data/samples/sample_00008.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00008_object_presence,data/samples/sample_00008.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00008_clutter_judgment,data/samples/sample_00008.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00008_occlusion_judgment,data/samples/sample_00008.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00009_counting,data/samples/sample_00009.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00009_object_presence,data/samples/sample_00009.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00009_clutter_judgment,data/samples/sample_00009.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00009_occlusion_judgment,data/samples/sample_00009.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00010_counting,data/samples/sample_00010.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00010_object_presence,data/samples/sample_00010.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00010_clutter_judgment,data/samples/sample_00010.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00010_occlusion_judgment,data/samples/sample_00010.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00011_counting,data/samples/sample_00011.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00011_object_presence,data/samples/sample_00011.png,scene_b1,object_presence,Is there a table visible in the image?,0,0,1
sample_00011_clutter_judgment,data/samples/sample_00011.png,scene_b1,clutter_judgment,Is the scene cluttered?,0,0,1
sample_00011_occlusion_judgment,data/samples/sample_00011.png,scene_b1,occlusion_judgment,Are any objects partially occluded?,1,1,1
sample_00012_counting,data/samples/sample_00012.png,scene_b1,counting,How many chairs are visible in the image?,0,0,1
sample_00012_object_presence,data/samples/sample_00012.png,scene_b1,object_presence,Is there a table visible in the image?,1,1,1
